Stand;Kanton;Jahr;Stufe;Schultyp;Geschlecht;Nationalitaet;Traegerschaft;Finanzierung;Anzahl
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;F;CH;oef;oef;217
16.11.2020;tg;2007;Tertiärstufe;Höhere Berufsbildung;F;CH;priv;oef;3
16.11.2020;tg;2008;Kindergartenstufe;Heim- und Sonderschule;F;CH;priv;oef;10
16.11.2020;tg;2008;Kindergartenstufe;Heim- und Sonderschule;M;CH;priv;oef;29
16.11.2020;tg;2008;Kindergartenstufe;Volksschule;F;CH;priv;priv;3
16.11.2020;tg;2008;Kindergartenstufe;Heim- und Sonderschule;M;Ausländer;priv;oef;4
16.11.2020;tg;2008;Kindergartenstufe;Volksschule;F;Ausländer;priv;priv;16
16.11.2020;tg;2008;Kindergartenstufe;Volksschule;M;CH;priv;priv;12
16.11.2020;tg;2008;Kindergartenstufe;Volksschule;F;Ausländer;oef;oef;550
16.11.2020;tg;2008;Kindergartenstufe;Volksschule;F;CH;oef;oef;1885
16.11.2020;tg;2008;Kindergartenstufe;Volksschule;M;Ausländer;priv;priv;9
16.11.2020;tg;2008;Kindergartenstufe;Heim- und Sonderschule;M;Ausländer;oef;oef;1
16.11.2020;tg;2008;Kindergartenstufe;Heim- und Sonderschule;F;CH;oef;oef;1
16.11.2020;tg;2008;Kindergartenstufe;Heim- und Sonderschule;M;CH;oef;oef;3
16.11.2020;tg;2008;Kindergartenstufe;Volksschule;M;Ausländer;oef;oef;621
16.11.2020;tg;2008;Kindergartenstufe;Volksschule;M;CH;oef;oef;1935
16.11.2020;tg;2008;Primarstufe;Volksschule;M;Ausländer;oef;oef;1758
16.11.2020;tg;2008;Primarstufe;Heim- und Sonderschule;M;Ausländer;oef;oef;14
16.11.2020;tg;2008;Primarstufe;Heim- und Sonderschule;F;Ausländer;priv;oef;29
16.11.2020;tg;2008;Primarstufe;Volksschule;M;CH;oef;oef;6683
16.11.2020;tg;2008;Primarstufe;Heim- und Sonderschule;M;CH;oef;oef;41
16.11.2020;tg;2008;Primarstufe;Heim- und Sonderschule;F;Ausländer;oef;oef;11
16.11.2020;tg;2008;Primarstufe;Volksschule;M;Ausländer;priv;priv;54
16.11.2020;tg;2008;Primarstufe;Volksschule;M;CH;priv;priv;77
16.11.2020;tg;2008;Primarstufe;Heim- und Sonderschule;M;CH;priv;oef;198
16.11.2020;tg;2008;Primarstufe;Heim- und Sonderschule;M;Ausländer;priv;oef;69
16.11.2020;tg;2008;Primarstufe;Volksschule;F;CH;priv;priv;87
16.11.2020;tg;2008;Primarstufe;Volksschule;F;Ausländer;oef;oef;1687
16.11.2020;tg;2008;Primarstufe;Heim- und Sonderschule;F;CH;priv;oef;92
16.11.2020;tg;2008;Primarstufe;Volksschule;F;Ausländer;priv;priv;42
16.11.2020;tg;2008;Primarstufe;Heim- und Sonderschule;F;CH;oef;oef;19
16.11.2020;tg;2008;Primarstufe;Volksschule;F;CH;oef;oef;6111
16.11.2020;tg;2008;Sekundarstufe I;Volksschule;F;Ausländer;priv;priv;27
16.11.2020;tg;2008;Sekundarstufe I;Heim- und Sonderschule;M;CH;priv;oef;45
16.11.2020;tg;2008;Sekundarstufe I;Volksschule;M;CH;priv;priv;199
16.11.2020;tg;2008;Sekundarstufe I;Volksschule;M;Ausländer;oef;oef;907
16.11.2020;tg;2008;Sekundarstufe I;Mittelschule;M;Ausländer;oef;oef;15
16.11.2020;tg;2008;Sekundarstufe I;Heim- und Sonderschule;F;CH;oef;oef;13
16.11.2020;tg;2008;Sekundarstufe I;Mittelschule;F;Ausländer;oef;oef;17
16.11.2020;tg;2008;Sekundarstufe I;Mittelschule;M;CH;oef;oef;148
16.11.2020;tg;2008;Sekundarstufe I;Mittelschule;F;CH;oef;oef;162
16.11.2020;tg;2008;Sekundarstufe I;Heim- und Sonderschule;F;CH;priv;oef;12
16.11.2020;tg;2008;Sekundarstufe I;Heim- und Sonderschule;F;Ausländer;priv;oef;3
16.11.2020;tg;2008;Sekundarstufe I;Volksschule;F;CH;oef;oef;3549
16.11.2020;tg;2008;Sekundarstufe I;Heim- und Sonderschule;F;Ausländer;oef;oef;3
16.11.2020;tg;2008;Sekundarstufe I;Volksschule;F;CH;priv;priv;107
16.11.2020;tg;2008;Sekundarstufe I;Heim- und Sonderschule;M;Ausländer;priv;oef;5
16.11.2020;tg;2008;Sekundarstufe I;Heim- und Sonderschule;M;Ausländer;oef;oef;5
16.11.2020;tg;2008;Sekundarstufe I;Heim- und Sonderschule;M;CH;oef;oef;13
16.11.2020;tg;2008;Sekundarstufe I;Volksschule;M;Ausländer;priv;priv;58
16.11.2020;tg;2008;Sekundarstufe I;Volksschule;F;Ausländer;oef;oef;897
